"Status_of_existing_checking_account","Duration_in_month","Credit_history","Purpose","Credit_amount","Saving_account_bonds","Present_employment_since","Installment_rate_of_disposable_income","Sex","Personal_status","Other_debtors_guarantors","Present_residence_since","Property","Age_in_years","Other_installment_plans","Housing","Number_of_existing_credits_at_this_bank","Job","Number_of_people_being_liable_to_provide_maintenance_for","Telephone","Foreign_worker","Good_loan"
NA,15,"existing credits paid back duly till now","radio/television",1386,NA,"1  <= ... < 4 years",0.04,"male","married/widowed","none",2,"real estate",40,"none","rent",1,"skilled employee/official",1,"yes","yes","yes"
NA,24,"existing credits paid back duly till now","radio/television",1278,"... <  100 DM","... >= 7 years",0.04,"male","single","none",1,"real estate",36,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"... < 0 DM",12,"existing credits paid back duly till now","radio/television",1107,"... <  100 DM","1  <= ... < 4 years",0.02,"male","single","none",2,"real estate",20,"none","rent",1,"management/self-employed/highly qualified employee/officer",2,"yes","yes","yes"
"... < 0 DM",21,"existing credits paid back duly till now","car (new)",3763,NA,"4  <= ... < 7 years",0.02,"male","single","co-applicant",2,"real estate",24,"none","own",1,"unskilled - resident",1,"no","no","yes"
"0 <= ... < 200 DM",36,"existing credits paid back duly till now","education",3711,NA,"1  <= ... < 4 years",0.02,"male","married/widowed","none",2,"car or other",27,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,15,"delay in paying off in the past","car (used)",3594,"... <  100 DM","... < 1 year",0.01,"female","divorced/separated/married","none",2,"building society savings agreement/life insurance",46,"none","own",2,"unskilled - resident",1,"no","yes","yes"
"0 <= ... < 200 DM",9,"existing credits paid back duly till now","car (new)",3195,NA,"1  <= ... < 4 years",0.01,"female","divorced/separated/married","none",2,"real estate",33,"none","own",1,"unskilled - resident",1,"no","yes","yes"
NA,36,"delay in paying off in the past","radio/television",4454,"... <  100 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",4,"real estate",34,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",24,"critical account","furniture/equipment",4736,"... <  100 DM","... < 1 year",0.02,"female","divorced/separated/married","none",4,"car or other",25,"bank","own",1,"unskilled - resident",1,"no","yes","no"
"0 <= ... < 200 DM",30,"existing credits paid back duly till now","radio/television",2991,NA,"... >= 7 years",0.02,"female","divorced/separated/married","none",4,"car or other",25,"none","own",1,"skilled employee/official",1,"no","yes","yes"
NA,11,"existing credits paid back duly till now","business",2142,"... >= 1000 DM","... >= 7 years",0.01,"male","divorced/separated","none",2,"real estate",28,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",24,"all credits at this bank paid back duly","business",3161,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",2,"building society savings agreement/life insurance",31,"none","rent",1,"skilled employee/official",1,"yes","yes","no"
"0 <= ... < 200 DM",48,"no credits taken","others",18424,"... <  100 DM","1  <= ... < 4 years",0.01,"female","divorced/separated/married","none",2,"building society savings agreement/life insurance",32,"bank","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","no","no"
NA,10,"existing credits paid back duly till now","car (used)",2848,"100 <= ... <  500 DM","1  <= ... < 4 years",0.01,"male","single","co-applicant",2,"real estate",32,"none","own",1,"skilled employee/official",2,"no","yes","yes"
"... < 0 DM",6,"existing credits paid back duly till now","car (new)",14896,"... <  100 DM","... >= 7 years",0.01,"male","single","none",4,NA,68,"bank","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
"... < 0 DM",24,"existing credits paid back duly till now","furniture/equipment",2359,"100 <= ... <  500 DM","unemployed",0.01,"male","divorced/separated","none",1,"building society savings agreement/life insurance",33,"none","own",1,"skilled employee/official",1,"no","yes","no"
"... < 0 DM",24,"existing credits paid back duly till now","furniture/equipment",3345,"... <  100 DM","... >= 7 years",0.04,"male","single","none",2,"building society savings agreement/life insurance",39,"none","rent",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
NA,18,"critical account","furniture/equipment",1817,"... <  100 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",2,NA,28,"none","own",2,"skilled employee/official",1,"no","yes","yes"
NA,48,"delay in paying off in the past","radio/television",12749,"500 <= ... < 1000 DM","4  <= ... < 7 years",0.04,"male","single","none",1,"car or other",37,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"... < 0 DM",9,"existing credits paid back duly till now","radio/television",1366,"... <  100 DM","... < 1 year",0.03,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",22,"none","rent",1,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",12,"existing credits paid back duly till now","car (new)",2002,"... <  100 DM","4  <= ... < 7 years",0.03,"male","single","none",4,"building society savings agreement/life insurance",30,"none","rent",1,"skilled employee/official",2,"yes","yes","yes"
"... < 0 DM",24,"all credits at this bank paid back duly","furniture/equipment",6872,"... <  100 DM","... < 1 year",0.02,"male","divorced/separated","none",1,"building society savings agreement/life insurance",55,"bank","own",1,"skilled employee/official",1,"yes","yes","no"
"... < 0 DM",12,"all credits at this bank paid back duly","car (new)",697,"... <  100 DM","... < 1 year",0.04,"male","single","none",2,"car or other",46,"bank","own",2,"skilled employee/official",1,"yes","yes","no"
"... < 0 DM",18,"critical account","furniture/equipment",1049,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",21,"none","rent",1,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",48,"existing credits paid back duly till now","car (used)",10297,"... <  100 DM","4  <= ... < 7 years",0.04,"male","single","none",4,NA,39,"stores","for free",3,"skilled employee/official",2,"yes","yes","no"
NA,30,"existing credits paid back duly till now","radio/television",1867,NA,"... >= 7 years",0.04,"male","single","none",4,"car or other",58,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",12,"delay in paying off in the past","car (new)",1344,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",2,"real estate",43,"none","own",2,"unskilled - resident",2,"no","yes","yes"
"... < 0 DM",24,"existing credits paid back duly till now","furniture/equipment",1747,"... <  100 DM","... < 1 year",0.04,"male","single","co-applicant",1,"building society savings agreement/life insurance",24,"none","own",1,"unskilled - resident",1,"no","no","yes"
"0 <= ... < 200 DM",9,"existing credits paid back duly till now","radio/television",1670,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","none",2,"car or other",22,"none","own",1,"skilled employee/official",1,"yes","yes","no"
NA,9,"critical account","car (new)",1224,"... <  100 DM","1  <= ... < 4 years",0.03,"male","single","none",1,"real estate",30,"none","own",2,"skilled employee/official",1,"no","yes","yes"
NA,12,"critical account","radio/television",522,"500 <= ... < 1000 DM","... >= 7 years",0.04,"male","single","none",4,"building society savings agreement/life insurance",42,"none","own",2,"skilled employee/official",2,"yes","yes","yes"
"... < 0 DM",12,"existing credits paid back duly till now","radio/television",1498,"... <  100 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","none",1,"car or other",23,"bank","own",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",30,"delay in paying off in the past","radio/television",1919,"100 <= ... <  500 DM","... < 1 year",0.04,"male","single","none",3,NA,30,"stores","own",2,"management/self-employed/highly qualified employee/officer",1,"no","yes","no"
"... >= 200 DM",9,"existing credits paid back duly till now","radio/television",745,"... <  100 DM","1  <= ... < 4 years",0.03,"female","divorced/separated/married","none",2,"real estate",28,"none","own",1,"unskilled - resident",1,"no","yes","no"
"0 <= ... < 200 DM",6,"existing credits paid back duly till now","radio/television",2063,"... <  100 DM","... < 1 year",0.04,"male","married/widowed","none",3,"car or other",30,"none","rent",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"0 <= ... < 200 DM",60,"existing credits paid back duly till now","education",6288,"... <  100 DM","1  <= ... < 4 years",0.04,"male","single","none",4,NA,42,"none","for free",1,"skilled employee/official",1,"no","yes","no"
NA,24,"critical account","car (used)",6842,NA,"1  <= ... < 4 years",0.02,"male","single","none",4,"building society savings agreement/life insurance",46,"none","own",2,"management/self-employed/highly qualified employee/officer",2,"yes","yes","yes"
NA,12,"existing credits paid back duly till now","car (new)",3527,NA,"... < 1 year",0.02,"male","single","none",3,"building society savings agreement/life insurance",45,"none","own",1,"management/self-employed/highly qualified employee/officer",2,"yes","yes","yes"
NA,10,"existing credits paid back duly till now","car (new)",1546,"... <  100 DM","1  <= ... < 4 years",0.03,"male","single","none",2,"real estate",31,"none","own",1,"unskilled - resident",2,"no","no","yes"
NA,24,"existing credits paid back duly till now","furniture/equipment",929,NA,"4  <= ... < 7 years",0.04,"male","single","none",2,"car or other",31,"stores","own",1,"skilled employee/official",1,"yes","yes","yes"
NA,4,"critical account","car (new)",1455,"... <  100 DM","4  <= ... < 7 years",0.02,"male","single","none",1,"real estate",42,"none","own",3,"unskilled - resident",2,"no","yes","yes"
"... < 0 DM",15,"existing credits paid back duly till now","furniture/equipment",1845,"... <  100 DM","... < 1 year",0.04,"female","divorced/separated/married","guarantor",1,"building society savings agreement/life insurance",46,"none","rent",1,"skilled employee/official",1,"no","yes","yes"
"0 <= ... < 200 DM",48,"no credits taken","car (new)",8358,"500 <= ... < 1000 DM","... < 1 year",0.01,"female","divorced/separated/married","none",1,"car or other",30,"none","own",2,"skilled employee/official",1,"no","yes","yes"
"... < 0 DM",24,"all credits at this bank paid back duly","furniture/equipment",3349,"500 <= ... < 1000 DM","... < 1 year",0.04,"male","single","none",4,NA,30,"none","for free",1,"skilled employee/official",2,"yes","yes","no"
NA,12,"existing credits paid back duly till now","car (new)",2859,NA,"unemployed",0.04,"male","single","none",4,NA,38,"none","own",1,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
NA,18,"existing credits paid back duly till now","furniture/equipment",1533,"... <  100 DM","... < 1 year",0.04,"male","married/widowed","co-applicant",1,"building society savings agreement/life insurance",43,"none","own",1,"unskilled - resident",2,"no","yes","no"
NA,24,"existing credits paid back duly till now","radio/television",3621,"100 <= ... <  500 DM","... >= 7 years",0.02,"male","single","none",4,"car or other",31,"none","own",2,"skilled employee/official",1,"no","yes","no"
"0 <= ... < 200 DM",18,"critical account","business",3590,"... <  100 DM","unemployed",0.03,"male","married/widowed","none",3,"car or other",40,"none","own",3,"unemployed/unskilled - non-resident",2,"yes","yes","yes"
"... < 0 DM",36,"delay in paying off in the past","business",2145,"... <  100 DM","4  <= ... < 7 years",0.02,"male","single","none",1,"car or other",24,"none","own",2,"skilled employee/official",1,"yes","yes","no"
"0 <= ... < 200 DM",24,"existing credits paid back duly till now","car (used)",4113,"500 <= ... < 1000 DM","... < 1 year",0.03,"female","divorced/separated/married","none",4,"car or other",28,"none","rent",1,"skilled employee/official",1,"no","yes","no"
NA,36,"existing credits paid back duly till now","furniture/equipment",10974,"... <  100 DM","unemployed",0.04,"female","divorced/separated/married","none",2,"car or other",26,"none","own",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","no"
"... < 0 DM",12,"existing credits paid back duly till now","car (new)",1893,"... <  100 DM","1  <= ... < 4 years",0.04,"female","divorced/separated/married","guarantor",4,"building society savings agreement/life insurance",29,"none","own",1,"skilled employee/official",1,"yes","yes","yes"
"... < 0 DM",24,"critical account","radio/television",1231,"... >= 1000 DM","... >= 7 years",0.04,"female","divorced/separated/married","none",4,"building society savings agreement/life insurance",57,"none","rent",2,"management/self-employed/highly qualified employee/officer",1,"yes","yes","yes"
"... >= 200 DM",30,"critical account","radio/television",3656,NA,"... >= 7 years",0.04,"male","single","none",4,"building society savings agreement/life insurance",49,"stores","own",2,"unskilled - resident",1,"no","yes","yes"
"0 <= ... < 200 DM",9,"critical account","radio/television",1154,"... <  100 DM","... >= 7 years",0.02,"male","single","none",4,"real estate",37,"none","own",3,"unskilled - resident",1,"no","yes","yes"
"... < 0 DM",28,"existing credits paid back duly till now","car (new)",4006,"... <  100 DM","1  <= ... < 4 years",0.03,"male","single","none",2,"car or other",45,"none","own",1,"unskilled - resident",1,"no","yes","no"
"0 <= ... < 200 DM",24,"existing credits paid back duly till now","furniture/equipment",3069,"100 <= ... <  500 DM","... >= 7 years",0.04,"male","single","none",4,NA,30,"none","for free",1,"skilled employee/official",1,"no","yes","yes"
